time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
15:28:23.279,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:24.278,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:25.279,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:26.262,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:27.279,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:28.279,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:29.279,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:30.278,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:31.279,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:32.279,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:33.279,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:34.279,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:35.279,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:36.279,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:37.279,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:38.279,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:39.296,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:40.295,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
